name,full_name,forks_count,stargazers_count,watchers_count,open_issues_count
website,openeuler/website,38,27,14,14
infrastructure,openeuler/infrastructure,71,25,42,52
gitbook-theme-hugo,openeuler/gitbook-theme-hugo,0,4,38,1
docs,openeuler/docs,128,67,56,43
community,openeuler/community,503,183,107,333
ci-bot,openeuler/ci-bot,23,21,14,8
go-gitee,openeuler/go-gitee,17,20,15,1
openeuler-jenkins,openeuler/openeuler-jenkins,21,8,39,5
integration-test,openeuler/integration-test,45,13,16,15
community-issue,openeuler/community-issue,0,20,15,116
iSulad,openeuler/iSulad,150,307,69,13
lcr,openeuler/lcr,19,13,7,3
iSulad-img,openeuler/iSulad-img,10,13,6,2
clibcni,openeuler/clibcni,7,8,6,2
A-Tune,openeuler/A-Tune,108,230,52,16
kae_driver,openeuler/kae_driver,1,0,132,0
libkae,openeuler/libkae,2,0,133,0
libwd,openeuler/libwd,2,0,133,0
prefetch_tuning,openeuler/prefetch_tuning,4,4,8,0
kernel,openeuler/kernel,317,652,204,126
tool-collections,openeuler/tool-collections,3,3,10,0
blog,openeuler/blog,13,1,16,5
security-committee,openeuler/security-committee,9,6,8,5
mate-desktop,openeuler/mate-desktop,1,2,4,3
libboundscheck,openeuler/libboundscheck,14,31,14,0
raspberrypi,openeuler/raspberrypi,23,41,14,11
raspberrypi-kernel,openeuler/raspberrypi-kernel,13,15,6,3
ha-api,openeuler/ha-api,13,3,10,4
pacemaker-mgmt,openeuler/pacemaker-mgmt,2,0,8,1
ha-web,openeuler/ha-web,4,1,9,2
ros,openeuler/ros,10,5,5,25
compass-ci,openeuler/compass-ci,28,32,17,21
openEuler-Advisor,openeuler/openEuler-Advisor,100,19,18,32
avocado,openeuler/avocado,6,5,5,1
avocado-vt,openeuler/avocado-vt,12,13,19,4
EulerRobot,openeuler/EulerRobot,3,2,11,0
QA,openeuler/QA,29,15,18,4
tp-libvirt,openeuler/tp-libvirt,7,6,15,0
tp-qemu,openeuler/tp-qemu,10,7,14,0
oec-hardware,openeuler/oec-hardware,13,2,6,20
oec-application,openeuler/oec-application,3,0,3,4
abichecker,openeuler/abichecker,2,0,10,1
openEuler-bootstrap,openeuler/openEuler-bootstrap,1,1,10,1
marketing,openeuler/marketing,5,16,8,100
pyporter,openeuler/pyporter,27,12,12,2
iSula-libutils,openeuler/iSula-libutils,5,0,1,0
RISC-V,openeuler/RISC-V,18,17,12,26
android-emulator,openeuler/android-emulator,0,0,3,1
anbox,openeuler/anbox,61,57,9,1
openEuler-pkginfo,openeuler/openEuler-pkginfo,1,0,11,0
release-management,openeuler/release-management,37,13,13,217
perlporter,openeuler/perlporter,20,0,11,4
compiler-test,openeuler/compiler-test,2,1,10,0
container-test,openeuler/container-test,0,0,8,0
test-tools,openeuler/test-tools,22,9,10,4
package-reinforce-test,openeuler/package-reinforce-test,4,7,8,0
auto_py2to3,openeuler/auto_py2to3,1,2,10,0
pkgporter,openeuler/pkgporter,6,1,11,2
redf,openeuler/redf,4,2,4,0
sig-desktop-apps,openeuler/sig-desktop-apps,1,0,1,0
authz,openeuler/authz,0,0,6,0
syscontainer-tools,openeuler/syscontainer-tools,2,0,5,0
lxcfs-tools,openeuler/lxcfs-tools,1,0,5,0
qemu,openeuler/qemu,42,20,21,6
libvirt,openeuler/libvirt,18,9,12,2
website-v2,openeuler/website-v2,63,12,21,14
attest-tools,openeuler/attest-tools,3,16,6,0
digest-list-tools,openeuler/digest-list-tools,3,18,6,0
custom_build_tool,openeuler/custom_build_tool,3,0,7,0
trucker,openeuler/trucker,5,0,10,0
async-libfuse,openeuler/async-libfuse,1,2,5,0
isula-build,openeuler/isula-build,15,42,12,5
openEuler-lsb,openeuler/openEuler-lsb,0,0,6,0
oemaker,openeuler/oemaker,9,2,8,2
openeuler-obs,openeuler/openeuler-obs,9,1,10,14
Java-Packages,openeuler/Java-Packages,2,5,7,12
memory-scan,openeuler/memory-scan,2,1,5,0
vmtop,openeuler/vmtop,6,6,8,0
secGear,openeuler/secGear,34,56,29,4
openEuler-rpm-config,openeuler/openEuler-rpm-config,6,0,11,1
wisdom-advisor,openeuler/wisdom-advisor,8,18,9,3
kata_integration,openeuler/kata_integration,2,0,7,0
isula-transform,openeuler/isula-transform,4,4,6,0
rubyporter,openeuler/rubyporter,1,0,11,0
nodejsporter,openeuler/nodejsporter,3,0,10,0
kubekey,openeuler/kubekey,5,1,1,2
raspberrypi-build,openeuler/raspberrypi-build,2,2,3,0
cve-manager,openeuler/cve-manager,9,7,8,11
security-tool,openeuler/security-tool,1,1,6,0
bishengjdk-8,openeuler/bishengjdk-8,114,350,66,3
bishengjdk-11,openeuler/bishengjdk-11,49,118,35,2
stratovirt,openeuler/stratovirt,97,291,81,2
DyscheOS-kernel,openeuler/DyscheOS-kernel,2,1,6,0
DyscheOS-utils,openeuler/DyscheOS-utils,3,1,6,0
security-facility,openeuler/security-facility,3,2,5,2
patch-tracking,openeuler/patch-tracking,2,0,7,6
pkgship,openeuler/pkgship,22,12,10,8
A-Tune-UI,openeuler/A-Tune-UI,7,5,8,4
aarch32-rootfs-builder,openeuler/aarch32-rootfs-builder,4,3,5,0
A-Tune-Collector,openeuler/A-Tune-Collector,8,6,8,3
sync-bot,openeuler/sync-bot,2,0,8,11
easy-checker,openeuler/easy-checker,1,0,7,0
wayca-scheduler,openeuler/wayca-scheduler,5,2,7,7
gazelle-cni,openeuler/gazelle-cni,4,2,9,0
libcareplus,openeuler/libcareplus,3,7,9,0
sonic-linux-kernel,openeuler/sonic-linux-kernel,1,0,4,0
rockchip-kernel,openeuler/rockchip-kernel,7,0,5,3
tarsier,openeuler/tarsier,1,1,9,0
openeuler-wiki-bot,openeuler/openeuler-wiki-bot,1,0,6,0
openeuler-os-build,openeuler/openeuler-os-build,14,5,10,3
itrustee_sdk,openeuler/itrustee_sdk,2,11,5,0
nvwa,openeuler/nvwa,12,6,8,10
sysmonitor,openeuler/sysmonitor,0,0,9,0
kbox,openeuler/kbox,0,0,9,0
A-Ops,openeuler/A-Ops,10,6,11,0
embedded,openeuler/embedded,4,0,3,1
duoyibu-ai,openeuler/duoyibu-ai,0,0,2,0
blesschess,openeuler/blesschess,0,0,2,0
compliance,openeuler/compliance,6,8,10,26
api-guarder,openeuler/api-guarder,0,0,7,0
openEuler-menus,openeuler/openEuler-menus,0,0,5,0
memwatch,openeuler/memwatch,0,0,10,1
cloudnative,openeuler/cloudnative,3,8,9,6
openRSO,openeuler/openRSO,1,1,4,0
mysql,openeuler/mysql,7,0,1,0
kernel-portal,openeuler/kernel-portal,3,0,5,0
bioinformatics,openeuler/bioinformatics,2,0,10,2
etmem,openeuler/etmem,6,1,6,0
X-diagnosis,openeuler/X-diagnosis,2,4,9,6
process1,openeuler/process1,3,4,12,1
bishengjdk-riscv,openeuler/bishengjdk-riscv,6,2,7,0
rockchip,openeuler/rockchip,2,1,3,0
lib-shim-v2,openeuler/lib-shim-v2,2,3,5,0
xenomai,openeuler/xenomai,0,0,7,0
openstack,openeuler/openstack,15,7,10,9
eggo,openeuler/eggo,6,25,12,6
wsl,openeuler/wsl,2,3,9,0
xmlpull,openeuler/xmlpull,1,0,4,0
compat-winapp,openeuler/compat-winapp,2,0,10,1
wine-app,openeuler/wine-app,0,0,10,0
user-committee,openeuler/user-committee,3,2,4,0
migration-assistant,openeuler/migration-assistant,1,1,6,0
ksc-defender,openeuler/ksc-defender,2,0,5,0
kunpengsecl,openeuler/kunpengsecl,7,2,5,0
AvxToNeon,openeuler/AvxToNeon,1,1,6,0
release-tools,openeuler/release-tools,13,1,8,4
wayca-scheduler-bench,openeuler/wayca-scheduler-bench,1,0,5,0
mugen,openeuler/mugen,17,12,11,1
operator-manager,openeuler/operator-manager,2,1,7,0
geo-coding,openeuler/geo-coding,1,0,10,0
gcc,openeuler/gcc,2,1,7,0
sig-OSCourse,openeuler/sig-OSCourse,1,0,3,0
PilotGo,openeuler/PilotGo,0,0,9,0
PilotGo-plugins,openeuler/PilotGo-plugins,0,0,9,0
PilotGo-web,openeuler/PilotGo-web,0,0,9,0
sig-OpenBoard,openeuler/sig-OpenBoard,1,0,4,0
sig-Edge,openeuler/sig-Edge,0,0,4,0
