,user_name,user_sig
0,AlexZ11,"['Application', 'Programming-language', 'Private']"
1,Anonymous_Z,"['Private', 'sig-OS-Builder']"
2,Au_Aviel,['Private']
3,BenchMarkFather,['Private']
4,Charlie_Li,"['Programming-language', 'Runtime', 'System-tool']"
5,Charlie_li,['Private']
6,Chuan-Zheng,['Virt']
7,Classicriver_jia,['Private']
8,Clergy97,['Private']
9,Clerk_duan,['Private']
10,Gongchen,['sig-ops']
11,Grooooot,['Private']
12,HuaxinLuGitee,['sig-nodejs']
13,HukunaMatata,['Private']
14,Jacean,['sig-OpenResty']
15,Kenneth-Lee-2012,['sig-WayCa']
16,KeyboardXia,['Private']
17,LemmyHuang,['sig-high-performance-network']
18,MrRlu,"['sig-ops', 'Networking', 'sig-high-performance-network']"
19,RickyZ5351,['Private']
20,Ronnie_Jiang,"['TC', 'sig-recycle', 'sig-release-management']"
21,RootWB,['Virt']
22,Rudy_Tan,['doc']
23,Shaojie-Zhang,['sig-bio']
24,Shinwell_Hu,"['sig-cms', 'sig-perl-modules', 'sig-python-modules']"
25,SupMario,['Private']
26,SuperSix173,['Computing']
27,TommyLike,"['Infrastructure', 'sig-Gatekeeper']"
28,TrueAI,['sig-DyscheOS']
29,Yika,['Private']
30,ZhengZhenyu,"['DB', 'sig-ai-bigdata']"
31,ZhengyuhangHans,['sig-Community']
32,air9,['Private']
33,alec-z,['sig-compliance']
34,algorithmofdish,"['Programming-language', 'Private']"
35,allesgute,"['Marketing', 'user-committee']"
36,amy_Mayun,['doc']
37,anchuanxu,['sig-ROS']
38,angela7,['security-committee']
39,ba_a_ge,['Private']
40,baizhilaoda,['Private']
41,barrysong,['sig-WayCa']
42,biannm,"['TC', 'sig-CloudNative', 'sig-recycle']"
43,bingo2008,['Private']
44,bitcoffee,['sig-high-performance-network']
45,blackanger,['sig-Rust']
46,blublue,['sig-Migration']
47,blue0613,['sig-confidential-computing']
48,blueskycs2c,"['sig-Community', 'sig-industrial-control']"
49,byeX012,['Private']
50,bzhaoop,['DB']
51,caihaomin,"['sig-CloudNative', 'iSulad', 'Private', 'sig-golang']"
52,calvinyu,['sig-KubeSphere']
53,captainwei,['Private']
54,catastrowings,"['Runtime', 'System-tool', 'Private']"
55,cellfaint,"['TC', 'Virt', 'sig-recycle', 'sig-Rust']"
56,chaojiahuoshanga,['sig-REDF']
57,charlie_li,"['TC', 'sig-recycle', 'sig-QA']"
58,chen_daguan,['Private']
59,chen_ding_xiao,['Private']
60,chengquan,['Private']
61,chengzihan2,['Private']
62,chenholmes,['Private']
63,chenmaodong,['sig-confidential-computing']
64,chenmingmin,['A-Tune']
65,chenyanpanHW,['sig-EasyLife']
66,cherry530,['Private']
67,chixinze,['sig-ceph']
68,chxssg,['Private']
69,cmss_dx,['sig-ops']
70,compile_success,['Private']
71,crrs666,['oVirt']
72,cuibb1,['Private']
73,cygnus1985,['sig-REDF']
74,cynthia_xh,['sig-bootstrap']
75,daidai_is_here,['Private']
76,dan_zhao,['Private']
77,derekpush,['sig-AccLib']
78,dillon_chen,"['TC', 'DB', 'sig-recycle', 'xfce', 'GNOME']"
79,ding_yi_ming,['Private']
80,disnight,"['Private', 'sig-Gatekeeper']"
81,dogsheng,"['Infrastructure', 'Application', 'Programming-language', 'System-tool', 'sig-Gatekeeper']"
82,doraemon2020,['Private']
83,doramart,['sig-cms']
84,dou33,"['Desktop', 'sig-UKUI', 'sig-OKD', 'sig-KDE']"
85,doudou19,['sig-KIRAN-DESKTOP']
86,dream0819,['sig-bootstrap']
87,duan_tao_tao,['Private']
88,duguhaotian,['iSulad']
89,duyyb,['Private']
90,dwl301,"['Desktop', 'xfce', 'GNOME']"
91,eastb233,['Compiler']
92,emily_liuliu,['Private']
93,eric14chan,"['Programming-language', 'Runtime', 'System-tool']"
94,ethan848,['dev-utils']
95,ew314,['sig-bio']
96,fcwicky,['dev-utils']
97,fei_wangl,['Private']
98,feynmanzhou,['sig-KubeSphere']
99,fly_fzc,['Private']
100,forrest_ly,['dev-utils']
101,freesky-edward,['Infrastructure']
102,fu_changjie,['sig-OpenResty']
103,fukiki,['sig-OpenResty']
104,fun_yang,['Private']
105,fzw0910,['sig-compat-winapp']
106,ga_beng_cui,['Private']
107,gameoverboss,['sig-ops']
108,ganqx,['Private']
109,genedna,"['Infrastructure', 'TC', 'Marketing', 'sig-recycle', 'sig-golang', 'sig-compliance', 'user-committee', 'sig-Migration']"
110,georgecao,['sig-Gatekeeper']
111,giteeruby,['Private']
112,gnaygnil,['Private']
113,gstwin,['Private']
114,gu-gu-gu,['Private']
115,guohaocs2c,"['sig-industrial-control', 'sig-compat-winapp']"
116,guoxiaoqi,['Private']
117,gwei3,"['security-committee', 'sig-security-facility']"
118,haijianzhang,['Compiler']
119,han-kai,['Private']
120,hands2333,['Private']
121,handsome_feng,['sig-UKUI']
122,hanjun-guo,"['TC', 'sig-recycle', 'sig-bootstrap']"
123,hanxinke,"['Base-service', 'A-Tune']"
124,hao-fang,['sig-AccLib']
125,hdh_1983,['sig-ONL']
126,hfutsdd,['Private']
127,hht8,['sig-ruby']
128,hjimmy,"['TC', 'oVirt', 'sig-recycle', 'sig-Ha', 'sig-OKD', 'sig-KDE']"
129,hjimmy1,['sig-Ha']
130,houyue-xj,['sig-bio']
131,huangtianhua,['sig-openstack']
132,hubble_zhu,"['sig-ai-bigdata', 'sig-high-performance-network']"
133,huzunhao,['Private']
134,hw-chuang,['sig-DyscheOS']
135,hy-euler,['Private']
136,imjoey,"['Infrastructure', 'sig-Ha', 'sig-OpenResty']"
137,imxcc,['Virt']
138,initlove,['sig-EasyLife']
139,iscassiyang,['sig-OSCourse']
140,isoftljj,['sig-mate-desktop']
141,jackie_wu123,['Private']
142,jdkboy,"['Compiler', 'Private']"
143,jeff200902,['Private']
144,jiangfeilong1003,['Compiler']
145,jiangkai89,['Private']
146,jianminw,"['TC', 'sig-CloudNative', 'sig-recycle', 'sig-RaspberryPi', 'sig-compat-winapp']"
147,jimmy_hero,"['sig-CICD', 'Application', 'Others', 'Packaging', 'sig-Compatibility-Infra']"
148,jing-rui,['sig-golang']
149,jingxiaolu,"['iSulad', 'dev-utils', 'sig-Rust']"
150,joec88,['sig-openstack']
151,joyxu515_admin,['sig-WayCa']
152,js_liangdong,"['Private', 'sig-aarch32']"
153,jvmboy,['Compiler']
154,jxy_git,"['oVirt', 'sig-Ha']"
155,kan-chen,['sig-bio']
156,kevinzhu1,['Virt']
157,king-gao,['sig-compliance']
158,kuhnchen18,"['Private', 'sig-QA']"
159,lemon-higgins,"['Private', 'sig-QA']"
160,li_guoqiang9,['sig-mate-desktop']
161,li_zhiliang8,['Private']
162,liangkeming,['sig-compat-winapp']
163,licihua,"['Programming-language', 'Packaging', 'Base-service', 'A-Tune', 'dev-utils', 'sig-EasyLife']"
164,lifeng2221dd1,"['iSulad', 'Private']"
165,liksh,['sig-openstack']
166,liliang_euler,['sig-DyscheOS']
167,linchaochao,['sig-compat-winapp']
168,liqingqing_1229,"['Computing', 'Private', 'sig-RISC-V']"
169,litianzhi_kylin,['sig-UKUI']
170,littlepc,['Private']
171,liuguishan,['sig-compat-winapp']
172,liujingang09,"['TC', 'security-committee', 'sig-recycle']"
173,liuqi469227928,['sig-Gatekeeper']
174,liuxiran,['sig-OpenResty']
175,liuzhiqiang26,"['Storage', 'Private', 'sig-ceph']"
176,lkx690,['Private']
177,lllxxxrrr,['sig-embedded']
178,lmq3342xja,['sig-UKUI']
179,lomo0625,['sig-bio']
180,louhongxiang,['Storage']
181,love_hangzhou,"['Computing', 'Private', 'dev-utils']"
182,luanjianhai,"['sig-ops', 'sig-ONL']"
183,lunankun,['Private']
184,luo-haibo,['sig-Java']
185,lutianxiong,['sig-QA']
186,m2b1aclc,['Private']
187,mailofzxf,['sig-security-facility']
188,mayukun,['sig-industrial-control']
189,miao_kaibo,"['Infrastructure', 'Application', 'Programming-language', 'System-tool', 'Packaging', 'Base-service', 'Private']"
190,minknov,['sig-DyscheOS']
191,moonbingbing,['sig-OpenResty']
192,mu_ruichao,['sig-compat-winapp']
193,myeuler,"['TC', 'dev-utils', 'sig-recycle', 'sig-EasyLife', 'sig-perl-modules', 'sig-python-modules', 'sig-bootstrap']"
194,netwarps_admin,['sig-Rust']
195,njlzk,['sig-ai-bigdata']
196,nlgwcy,['sig-high-performance-network']
197,oli_give_xiao_zi_li,['Private']
198,openeuler-basic,"['Base-service', 'Private', 'sig-OS-Builder']"
199,orange-snn,"['Programming-language', 'Desktop', 'Private', 'GNOME', 'sig-OS-Builder']"
200,overweight,"['Packaging', 'Base-service', 'Private', 'dev-utils', 'sig-OS-Builder', 'sig-ONL']"
201,panchenbo,"['sig-DDE', 'sig-KDE']"
202,pearl405,['sig-Community']
203,pecs,['Base-service']
204,pengryan,"['TC', 'sig-recycle']"
205,pixiake,['sig-CloudNative']
206,prety20,['Private']
207,pwang7,['sig-Rust']
208,qiaominna,['doc']
209,qiegewala,['Private']
210,realzhongkeyi,['sig-AccLib']
211,reganhe_xx,['sig-bio']
212,relue0z,"['TC', 'sig-recycle']"
213,rigorous,['sig-QA']
214,riskiest,['sig-Rust']
215,rita_dong,['sig-Java']
216,robertosassu,['sig-security-facility']
217,ruebb,"['Programming-language', 'Desktop', 'Private']"
218,seki099,['Private']
219,seuzw,['Networking']
220,shanshishi,['A-Tune']
221,shen_en_yu,['Private']
222,sherlock2010,['Private']
223,shinwell_hu,"['TC', 'sig-ruby', 'sig-recycle', 'sig-EasyLife', 'sig-bootstrap']"
224,shredstar,['sig-Community']
225,si-gui,['Private']
226,sinever,"['sig-Java', 'sig-ai-bigdata']"
227,small_leek,"['Application', 'Programming-language', 'Runtime', 'Others', 'System-tool', 'Desktop', 'sig-ruby', 'Private']"
228,smartsyoung,['sig-compliance']
229,snoweay,['sig-ops']
230,solarhu,"['sig-ops', 'Packaging', 'sig-nodejs', 'Private', 'sig-EasyLife', 'sig-release-management', 'sig-Gatekeeper']"
231,spacewander,['sig-OpenResty']
232,speacher,['sig-QA']
233,speech_white,['sig-high-performance-network']
234,ssttkx,['Private']
235,steven,['Private']
236,stonefly,"['TC', 'sig-recycle']"
237,stonefly128,"['sig-Ostree-Assembly', 'sig-KIRAN-DESKTOP', 'sig-Migration']"
238,sugarfillet,"['Private', 'sig-aarch32']"
239,sun_nanyong,['sig-android-middleware']
240,sunshower,['sig-compat-winapp']
241,t_feng,"['Desktop', 'Private', 'GNOME', 'sig-OS-Builder']"
242,tangguoloveyou,['Private']
243,tangjing996,['Private']
244,tao191,['sig-REDF']
245,taojiang666,['sig-Ha']
246,tian2020,['Private']
247,tracedeng,['sig-Gatekeeper']
248,traffic_millions,['Private']
249,ultra_planet,"['Programming-language', 'Private']"
250,upper_code,['Private']
251,vicxhh,['Private']
252,volcanodragon,"['Storage', 'Private']"
253,vyloy,['sig-compat-winapp']
254,walkingwalk,"['sig-CICD', 'Private', 'sig-QA', 'sig-Compatibility-Infra']"
255,wang_yue111,['Private']
256,wangbin224,['Computing']
257,wangchong1995924,"['sig-Java', 'Private', 'sig-Gatekeeper']"
258,wangchuanggg,['sig-Gatekeeper']
259,wangef,['Private']
260,wangjunqiangs,['sig-RISC-V']
261,wangxiongfeng,['Private']
262,wangxp006,"['Programming-language', 'Networking', 'Desktop', 'GNOME']"
263,wanjk19,['Private']
264,weibaohui,['sig-CloudNative']
265,weidongkl,"['Desktop', 'sig-desktop-apps', 'sig-DDE', 'sig-KDE', 'sig-Migration']"
266,weihang-li,['sig-high-performance-network']
267,weiyj_lk,['Kernel']
268,whoisxxx,['sig-RISC-V']
269,wisdoman,['Private']
270,wjf008,['Private']
271,wl1587,['sig-embedded']
272,wm-wm-wm,['oVirt']
273,wnd007,['Private']
274,woqidaideshi,"['sig-RaspberryPi', 'xfce']"
275,wswsamao,['Computing']
276,wu_fengguang,"['TC', 'sig-CICD', 'sig-recycle', 'sig-QA']"
277,wubo009,['Storage']
278,wuchunguang,['sig-industrial-control']
279,wufangyao01,['sig-android-middleware']
280,wuliaokanke,['sig-AccLib']
281,wuwei_plct,"['sig-ROS', 'sig-RISC-V']"
282,wuxu_buque,['sig-desktop-apps']
283,xdzt1986,['Private']
284,xiangshuaizhx,['Private']
285,xiangxinyong,['Infrastructure']
286,xianmaxianmai,['sig-UKUI']
287,xiao_yun_wang,['sig-ROS']
288,xiexiuqi,"['Kernel', 'Private', 'sig-bootstrap']"
289,xiezhipeng1,"['Base-service', 'A-Tune']"
290,xijing666,['sig-RISC-V']
291,xiyuanwang,['sig-openstack']
292,xqm227,['sig-AccLib']
293,xu_xi_jian,['Private']
294,xzyangha,['sig-mate-desktop']
295,yanan-rock,"['Base-service', 'Desktop', 'Private', 'dev-utils', 'GNOME', 'sig-OS-Builder']"
296,yang_jian_mei,['Private']
297,yang_zhuang_zhuang,['Private']
298,yangbonis,['Private']
299,yangli69393,"['sig-Community', 'security-committee']"
300,yanglijin,"['Programming-language', 'System-tool', 'Private', 'security-committee']"
301,yangyingliang,"['Kernel', 'Private']"
302,yangzhao_kl,"['sig-CloudNative', 'sig-Ha', 'sig-ai-bigdata', 'sig-OKD', 'sig-bio']"
303,yanxiaobing2020,"['Private', 'security-committee']"
304,yanzh_h,"['Programming-language', 'Private']"
305,yaokai13,['Private']
306,yaqiangchen,"['sig-ops', 'Packaging', 'sig-release-management']"
307,yd_wang,['Compiler']
308,yeah_wang,['Private']
309,yeqinglong01,"['TC', 'sig-recycle', 'sig-DDE', 'sig-Migration']"
310,yinzhenling,['Private']
311,yiyurain,['Private']
312,young1c,['sig-WayCa']
313,yuandj,['sig-minzuchess']
314,yumin_jiang,['sig-release-management']
315,zengwefeng,['Networking']
316,zerodefect,"['Infrastructure', 'sig-Community']"
317,zh-f,['sig-openstack']
318,zha_hw,['sig-Gatekeeper']
319,zhang-jiwen,['sig-industrial-control']
320,zhang__3125,"['xfce', 'GNOME']"
321,zhang_liu_yan,['Private']
322,zhangbo20,['Private']
323,zhanghailiang_lucky,"['Virt', 'sig-bootstrap']"
324,zhangtao2020,['Private']
325,zhangy1317,['sig-openstack']
326,zhaozhijian01,['sig-libboundscheck']
327,zhendongchen,['Virt']
328,zhengchen87,['sig-OSCourse']
329,zhengyuhanghans,"['Infrastructure', 'doc', 'sig-nodejs']"
330,zhk128,['Private']
331,zhongjun2,['Infrastructure']
332,zhou_mu_chen,['Private']
333,zhouerlin,['Private']
334,zhouzhongyuan1,['sig-bio']
335,zhuchunyi,"['Infrastructure', 'Application', 'Programming-language', 'System-tool', 'Packaging', 'Base-service', 'Private', 'sig-OS-Builder']"
336,zhujianwei001,"['Base-service', 'security-committee', 'sig-security-facility']"
337,zi_cvi,['Private']
338,zjay998,['sig-UKUI']
339,zl_28,['Private']
340,zxiiiii,['sig-industrial-control']
341,zyp-rock,"['Infrastructure', 'Private', 'sig-release-management']"
